,pval,Region,Stain,test,comparison,test.stat,effect_size,FDR_adjusted_pval,Region_Stain,Age.Harvested
V154,0.287337268,Postsubiculum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,134,0.168230181,0.393123128,Postsubiculum_Iba1,14
V155,0.537901747,Presubiculum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,88,0.09739642,0.648785002,Presubiculum_Iba1,14
V156,0.070197451,Reticular.nucleus.of.the.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,154,0.286286448,0.116290959,Reticular.nucleus.of.the.thalamus_Iba1,14
V157,0.001607125,Striatum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,20,0.498787729,0.005139061,Striatum_Iba1,14
V158,0.00055383,Striatum.like.amygdalar.nuclei,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,12,0.546010236,0.002307627,Striatum.like.amygdalar.nuclei_Iba1,14
V159,0.287337268,Striatum_Pallidum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,134,0.168230181,0.393123128,Striatum_Pallidum_Iba1,14
V160,0.034919054,Subiculum,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,162,0.333508955,0.063594304,Subiculum_Iba1,14
V161,0.808266974,Subparafascicular.nucleus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,98,0.038368287,0.871660462,Subparafascicular.nucleus_Iba1,14
V162,0.041888066,Thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,160,0.321703328,0.074317537,Thalamus_Iba1,14
V163,0.00381239,Ventral.group.of.the.dorsal.thalamus,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,183,0.457468035,0.009890633,Ventral.group.of.the.dorsal.thalamus_Iba1,14
V164,0.000129926,ventricular.systems,Iba1,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,2,0.60503837,0.0010654,ventricular.systems_Iba1,14
V165,0.287337268,Ammon.s.horn,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,134,0.168230181,0.393123128,Ammon.s.horn_AB1.42,14
V166,0.614267673,Anterior.group.of.the.dorsal.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,119,0.07968798,0.718823873,Anterior.group.of.the.dorsal.thalamus_AB1.42,14
V167,0.92564007,Basolateral.amygdalar.nucleus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,102,0.014757033,0.953374604,Basolateral.amygdalar.nucleus_AB1.42,14
V168,0.000481929,Basomedial.amygdalar.nucleus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,11,0.551913049,0.00213969,Basomedial.amygdalar.nucleus_AB1.42,14
V169,0.72284405,Caudoputamen,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,115,0.056076727,0.799688581,Caudoputamen_AB1.42,14
V170,0.489782759,Claustrum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,86,0.109202047,0.620692437,Claustrum_AB1.42,14
V171,1,Cortex,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,105,0,1,Cortex_AB1.42,14
V172,0.513548894,Cortical.subplate,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,87,0.103299234,0.630472972,Cortical.subplate_AB1.42,14
V173,0.614267673,Dentate.gyrus..granule.cell.layer,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,91,0.07968798,0.718823873,Dentate.gyrus..granule.cell.layer_AB1.42,14
V174,0.001088441,Dentate.gyrus..molecular.layer,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,17,0.516496169,0.003938436,Dentate.gyrus..molecular.layer_AB1.42,14
V175,9.57E-05,Dentate.gyrus..polymorph.layer,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,210,0.616843996,0.0010654,Dentate.gyrus..polymorph.layer_AB1.42,14
V176,0.341105565,Endopiriform.nucleus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,79,0.150521741,0.461874003,Endopiriform.nucleus_AB1.42,14
V177,0.23960323,Entorhinal.area,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,137,0.185938621,0.337969337,Entorhinal.area_AB1.42,14
V178,0.542057256,Epithalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,71,0.096402822,0.650942119,Epithalamus_AB1.42,14
V179,0.000151093,fiber.tracts,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,3,0.599135556,0.0010654,fiber.tracts_AB1.42,14
V180,0.409391616,Fundus.of.striatum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,116,0.130438376,0.531050446,Fundus.of.striatum_AB1.42,14
V181,0.013041921,Geniculate.group..dorsal.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,172,0.392537089,0.028240379,Geniculate.group..dorsal.thalamus_AB1.42,14
V182,0.951866309,Geniculate.group..ventral.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,97,0.009544271,0.969443598,Geniculate.group..ventral.thalamus_AB1.42,14
V183,0.007601272,Hippo,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,177,0.422051155,0.018020257,Hippo_AB1.42,14
V184,0.92564007,Hippocampal.formation,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,108,0.014757033,0.953374604,Hippocampal.formation_AB1.42,14
V185,0.002653365,Hypothalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,186,0.475176476,0.007522428,Hypothalamus_AB1.42,14
V186,0.201279706,Induseum.griseum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,37,0.202055965,0.288291246,Induseum.griseum_AB1.42,14
V187,0.695063363,Intralaminar.nuclei.of.the.dorsal.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,94,0.06197954,0.777001727,Intralaminar.nuclei.of.the.dorsal.thalamus_AB1.42,14
V188,0.837314554,Isocortex,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,111,0.032465473,0.885621163,Isocortex_AB1.42,14
V189,0.025519871,Lateral.amygdalar.nucleus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,39,0.353138043,0.048399755,Lateral.amygdalar.nucleus_AB1.42,14
V190,0.837314554,Lateral.group.of.the.dorsal.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,99,0.032465473,0.885621163,Lateral.group.of.the.dorsal.thalamus_AB1.42,14
V191,0.013041921,Lateral.septal.complex,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,38,0.392537089,0.028240379,Lateral.septal.complex_AB1.42,14
V192,0.779481324,Medial.group.of.the.dorsal.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,97,0.0442711,0.84392663,Medial.group.of.the.dorsal.thalamus_AB1.42,14
V193,0.667686216,Mid_Hind_Medulla,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,117,0.067882354,0.765057122,Mid_Hind_Medulla_AB1.42,14
V194,0.197753934,Midbrain,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,70,0.203647061,0.28472425,Midbrain_AB1.42,14
V195,1,Midbrain..behavioral.state.related,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,105,0,1,Midbrain..behavioral.state.related_AB1.42,14
V196,0.72284405,Midbrain..motor.related,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,95,0.056076727,0.799688581,Midbrain..motor.related_AB1.42,14
V197,0.287337268,Midbrain..sensory.related,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,76,0.168230181,0.393123128,Midbrain..sensory.related_AB1.42,14
V198,0.837314554,Midline.group.of.the.dorsal.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,111,0.032465473,0.885621163,Midline.group.of.the.dorsal.thalamus_AB1.42,14
V199,0.239650984,Nucleus.accumbens,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,58,0.185919728,0.337969337,Nucleus.accumbens_AB1.42,14
V200,0.017758061,Olfactory.areas,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,41,0.374828648,0.036717795,Olfactory.areas_AB1.42,14
V201,0.034625208,Olfactory.tubercle,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,42,0.334049501,0.063479547,Olfactory.tubercle_AB1.42,14
V202,0.360375188,Pallidum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,80,0.144618927,0.478759307,Pallidum_AB1.42,14
V203,0.44204636,Parasubiculum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,57,0.121548816,0.568010811,Parasubiculum_AB1.42,14
V204,0.018635209,Pons,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,114,0.372002278,0.038243899,Pons_AB1.42,14
V205,0.724081661,Pons..behavioral.state.related,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,44,0.055815631,0.799688581,Pons..behavioral.state.related_AB1.42,14
V206,0.000482403,Pons..motor.related,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,136,0.551871512,0.00213969,Pons..motor.related_AB1.42,14
V207,0.185143724,Pons..sensory.related,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,14,0.209513971,0.272270183,Pons..sensory.related_AB1.42,14
V208,0.89604084,Posterior.amygdalar.nucleus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,109,0.020659847,0.933375875,Posterior.amygdalar.nucleus_AB1.42,14
V209,0.762792056,Postsubiculum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,103,0.047721357,0.835728348,Postsubiculum_AB1.42,14
V210,0.003335879,Presubiculum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,14,0.464058337,0.008945227,Presubiculum_AB1.42,14
V211,0.028965101,Reticular.nucleus.of.the.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,164,0.345314582,0.054186414,Reticular.nucleus.of.the.thalamus_AB1.42,14
V212,0.001241041,Striatum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,18,0.510593356,0.004266078,Striatum_AB1.42,14
V213,0.000235745,Striatum.like.amygdalar.nuclei,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,6,0.581427116,0.001409347,Striatum.like.amygdalar.nuclei_AB1.42,14
V214,0.380314081,Striatum_Pallidum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,81,0.138716114,0.502819098,Striatum_Pallidum_AB1.42,14
V215,0.00482311,Subiculum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,181,0.445662409,0.012168396,Subiculum_AB1.42,14
V216,0.695063363,Subparafascicular.nucleus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,94,0.06197954,0.777001727,Subparafascicular.nucleus_AB1.42,14
V217,0.002997958,Thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,185,0.469273662,0.008244384,Thalamus_AB1.42,14
V218,0.001413191,Ventral.group.of.the.dorsal.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,191,0.504690542,0.004626518,Ventral.group.of.the.dorsal.thalamus_AB1.42,14
V219,0.021678215,ventricular.systems,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,43,0.363023022,0.042888555,ventricular.systems_AB1.42,14
V220,0.614267673,Ammon.s.horn,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,119,0.07968798,0.718823873,Ammon.s.horn_Thionine,14
V221,0.00482311,Anterior.group.of.the.dorsal.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,181,0.445662409,0.012168396,Anterior.group.of.the.dorsal.thalamus_Thionine,14
V222,0.000481929,Basolateral.amygdalar.nucleus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,199,0.551913049,0.00213969,Basolateral.amygdalar.nucleus_Thionine,14
V223,0.002653365,Basomedial.amygdalar.nucleus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,186,0.475176476,0.007522428,Basomedial.amygdalar.nucleus_Thionine,14
V224,0.172995226,Caudoputamen,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,142,0.215452688,0.255772511,Caudoputamen_Thionine,14
V225,0.007601272,Claustrum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,177,0.422051155,0.018020257,Claustrum_Thionine,14
V226,0.400916759,Cortex,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,128,0.132813301,0.522521843,Cortex_Thionine,14
V227,0.000203525,Cortical.subplate,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,205,0.587329929,0.001301613,Cortical.subplate_Thionine,14
V228,0.000111577,Dentate.gyrus..granule.cell.layer,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,209,0.610941183,0.0010654,Dentate.gyrus..granule.cell.layer_Thionine,14
V229,0.000111577,Dentate.gyrus..molecular.layer,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,1,0.610941183,0.0010654,Dentate.gyrus..molecular.layer_Thionine,14
V230,9.57E-05,Dentate.gyrus..polymorph.layer,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616843996,0.0010654,Dentate.gyrus..polymorph.layer_Thionine,14
V231,0.000418811,Endopiriform.nucleus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,200,0.557815863,0.002094057,Endopiriform.nucleus_Thionine,14
V232,0.00055383,Entorhinal.area,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,198,0.546010236,0.002307627,Entorhinal.area_Thionine,14
V233,0.000151093,Epithalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,207,0.599135556,0.0010654,Epithalamus_Thionine,14
V234,9.57E-05,fiber.tracts,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616843996,0.0010654,fiber.tracts_Thionine,14
V235,0.190917098,Fundus.of.striatum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,128,0.206792548,0.279267032,Fundus.of.striatum_Thionine,14
V236,0.537901747,Geniculate.group..dorsal.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,122,0.09739642,0.648785002,Geniculate.group..dorsal.thalamus_Thionine,14
V237,0.003382922,Geniculate.group..ventral.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,184,0.463370849,0.008945227,Geniculate.group..ventral.thalamus_Thionine,14
V238,0.000151093,Hippo,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,207,0.599135556,0.0010654,Hippo_Thionine,14
V239,0.004290837,Hippocampal.formation,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,28,0.451565222,0.011027853,Hippocampal.formation_Thionine,14
V240,0.001241041,Hypothalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,192,0.510593356,0.004266078,Hypothalamus_Thionine,14
V241,0.537901747,Induseum.griseum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,88,0.09739642,0.648785002,Induseum.griseum_Thionine,14
V242,0.000418811,Intralaminar.nuclei.of.the.dorsal.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,200,0.557815863,0.002094057,Intralaminar.nuclei.of.the.dorsal.thalamus_Thionine,14
V243,0.837314554,Isocortex,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,111,0.032465473,0.885621163,Isocortex_Thionine,14
V244,0.197753934,Lateral.amygdalar.nucleus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,140,0.203647061,0.28472425,Lateral.amygdalar.nucleus_Thionine,14
V245,0.010549188,Lateral.group.of.the.dorsal.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,36,0.404342715,0.023778907,Lateral.group.of.the.dorsal.thalamus_Thionine,14
V246,0.006797231,Lateral.septal.complex,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,32,0.427953969,0.016689629,Lateral.septal.complex_Thionine,14
V247,0.070197451,Medial.group.of.the.dorsal.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,56,0.286286448,0.116290959,Medial.group.of.the.dorsal.thalamus_Thionine,14
V248,0.000363482,Mid_Hind_Medulla,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,201,0.563718676,0.002039949,Mid_Hind_Medulla_Thionine,14
V249,0.000635624,Midbrain,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,197,0.540107423,0.002608905,Midbrain_Thionine,14
V250,0.000418811,Midbrain..behavioral.state.related,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,200,0.557815863,0.002094057,Midbrain..behavioral.state.related_Thionine,14
V251,0.001413191,Midbrain..motor.related,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,191,0.504690542,0.004626518,Midbrain..motor.related_Thionine,14
V252,0.007601272,Midbrain..sensory.related,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,177,0.422051155,0.018020257,Midbrain..sensory.related_Thionine,14
V253,0.059389371,Midline.group.of.the.dorsal.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,156,0.298092075,0.102717465,Midline.group.of.the.dorsal.thalamus_Thionine,14
V254,0.130540701,Nucleus.accumbens,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,146,0.239063941,0.20512168,Nucleus.accumbens_Thionine,14
V255,9.57E-05,Olfactory.areas,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616843996,0.0010654,Olfactory.areas_Thionine,14
V256,0.172995226,Olfactory.tubercle,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,68,0.215452688,0.255772511,Olfactory.tubercle_Thionine,14
V257,0.007601272,Pallidum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,33,0.422051155,0.018020257,Pallidum_Thionine,14
V258,0.34376,Parasubiculum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,97,0.149696238,0.461874003,Parasubiculum_Thionine,14
V259,0.000151093,Pons,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,207,0.599135556,0.0010654,Pons_Thionine,14
V260,0.002080267,Pons..behavioral.state.related,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,172,0.486757844,0.006286522,Pons..behavioral.state.related_Thionine,14
V261,0.00014302,Pons..motor.related,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,190,0.601289101,0.0010654,Pons..motor.related_Thionine,14
V262,0.420965221,Pons..sensory.related,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,59,0.127241802,0.543499698,Pons..sensory.related_Thionine,14
V263,0.031822869,Posterior.amygdalar.nucleus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,163,0.339411768,0.05913033,Posterior.amygdalar.nucleus_Thionine,14
V264,0.001583054,Postsubiculum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,174,0.499483539,0.005121644,Postsubiculum_Thionine,14
V265,0.131277875,Presubiculum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,133,0.238606786,0.20512168,Presubiculum_Thionine,14
V266,0.000151093,Reticular.nucleus.of.the.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,207,0.599135556,0.0010654,Reticular.nucleus.of.the.thalamus_Thionine,14
V267,0.000235745,Striatum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,6,0.581427116,0.001409347,Striatum_Thionine,14
V268,0.023906627,Striatum.like.amygdalar.nuclei,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,44,0.357120208,0.0466264,Striatum.like.amygdalar.nuclei_Thionine,14
V269,0.001413191,Striatum_Pallidum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,19,0.504690542,0.004626518,Striatum_Pallidum_Thionine,14
V270,0.513548894,Subiculum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,123,0.103299234,0.630472972,Subiculum_Thionine,14
V271,0.00946954,Subparafascicular.nucleus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,175,0.410245529,0.021883391,Subparafascicular.nucleus_Thionine,14
V272,0.000151093,Thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,207,0.599135556,0.0010654,Thalamus_Thionine,14
V273,0.00381239,Ventral.group.of.the.dorsal.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,183,0.457468035,0.009890633,Ventral.group.of.the.dorsal.thalamus_Thionine,14
V274,0.038268876,ventricular.systems,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,161,0.327606142,0.068783928,ventricular.systems_Thionine,14
V,0.000321048,Ammon.s.horn,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,153,0.616999794,0.003526486,Ammon.s.horn_NeuN,6
V1,0.003335879,Anterior.group.of.the.dorsal.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,139,0.503341937,0.010667054,Anterior.group.of.the.dorsal.thalamus_NeuN,6
V2,0.002091115,Basolateral.amygdalar.nucleus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,142,0.527697192,0.008334153,Basolateral.amygdalar.nucleus_NeuN,6
V3,0.185016311,Basomedial.amygdalar.nucleus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,105,0.227315714,0.276518942,Basomedial.amygdalar.nucleus_NeuN,6
V4,0.000321048,Caudoputamen,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,153,0.616999794,0.003526486,Caudoputamen_NeuN,6
V5,0.072042719,Claustrum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,115,0.308499897,0.131203627,Claustrum_NeuN,6
V6,0.006039848,Cortex,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,18,0.470868264,0.016445131,Cortex_NeuN,6
V7,0.01793752,Cortical.subplate,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,127,0.405920917,0.03853764,Cortical.subplate_NeuN,6
V8,0.000321048,Dentate.gyrus..granule.cell.layer,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,153,0.616999794,0.003526486,Dentate.gyrus..granule.cell.layer_NeuN,6
V9,0.000321048,Dentate.gyrus..molecular.layer,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616999794,0.003526486,Dentate.gyrus..molecular.layer_NeuN,6
V10,0.000460015,Dentate.gyrus..polymorph.layer,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,2,0.600762958,0.003614404,Dentate.gyrus..polymorph.layer_NeuN,6
V11,0.037262464,Endopiriform.nucleus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,121,0.357210407,0.073194125,Endopiriform.nucleus_NeuN,6
V12,0.849816607,Entorhinal.area,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,72,0.032473673,0.912888934,Entorhinal.area_NeuN,6
V13,0.000548903,Epithalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,150,0.592644539,0.003773707,Epithalamus_NeuN,6
V14,0.000321048,fiber.tracts,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616999794,0.003526486,fiber.tracts_NeuN,6
V15,0.023072675,Fundus.of.striatum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,125,0.389684081,0.048068073,Fundus.of.striatum_NeuN,6
V16,0.169812945,Geniculate.group..dorsal.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,47,0.235434132,0.26088581,Geniculate.group..dorsal.thalamus_NeuN,6
V17,0.297672152,Geniculate.group..ventral.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,99,0.178605204,0.403250452,Geniculate.group..ventral.thalamus_NeuN,6
V18,0.000384708,Hippo,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,152,0.608881376,0.003526486,Hippo_NeuN,6
V19,0.012110102,Hippocampal.formation,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,23,0.430276172,0.027985531,Hippocampal.formation_NeuN,6
V20,0.001286424,Hypothalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,145,0.552052447,0.006099424,Hypothalamus_NeuN,6
V21,0.602562415,Induseum.griseum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,88,0.089302602,0.70813959,Induseum.griseum_NeuN,6
V22,0.005223004,Intralaminar.nuclei.of.the.dorsal.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,136,0.478986682,0.015119222,Intralaminar.nuclei.of.the.dorsal.thalamus_NeuN,6
V23,0.002448463,Isocortex,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,12,0.519578774,0.008859571,Isocortex_NeuN,6
V24,0.003335879,Lateral.amygdalar.nucleus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,139,0.503341937,0.010667054,Lateral.amygdalar.nucleus_NeuN,6
V25,0.009225146,Lateral.group.of.the.dorsal.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,21,0.446513009,0.022651028,Lateral.group.of.the.dorsal.thalamus_NeuN,6
V26,0.008026953,Lateral.septal.complex,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,133,0.454631427,0.020630019,Lateral.septal.complex_NeuN,6
V27,0.887068694,Medial.group.of.the.dorsal.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,73,0.024355255,0.934650923,Medial.group.of.the.dorsal.thalamus_NeuN,6
V28,0.000321048,Mid_Hind_Medulla,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,153,0.616999794,0.003526486,Mid_Hind_Medulla_NeuN,6
V29,0.006039848,Midbrain,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,135,0.470868264,0.016445131,Midbrain_NeuN,6
V30,0.004507305,Midbrain..behavioral.state.related,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,137,0.487105101,0.013772319,Midbrain..behavioral.state.related_NeuN,6
V31,0.142245169,Midbrain..motor.related,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,108,0.251670969,0.222258077,Midbrain..motor.related_NeuN,6
